MIU,FORC,TATM,TOCEAN,MAT,MU,ML,E,EIND,C,K,CPC,I,S,RI,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCA,PERIODU,CPRICE,CEMUTOTPER
0.8856,5.0133,3.2298,0.8623,1291.4252,2112.5274,10030.7832, 14.4871, 14.4490, 433.4488,1444.2706, 42.2894,140.2238,0.2444,0.0338, 573.6727, 596.9523, 580.3257,16.6266,0.0279, 6.6531,166.5916,1135.0912,0.8101,166.5916,1873.5384
0.9348,4.9582,3.2805,0.9215,1278.5093,2143.3060,10032.6792,  8.4624,  8.4320, 463.2999,1553.9465, 45.0558,149.9115,0.2445,0.0334, 613.2114, 639.3062, 620.9361,18.3701,0.0287, 7.7248,179.0262,1154.7980,0.8217,179.0262,1769.7146
0.9848,4.8769,3.3169,0.9804,1259.6928,2171.6921,10034.6514,  2.0343,  2.0099, 494.3009,1667.1472, 47.9362,159.6897,0.2442,0.0331, 653.9906, 682.9520, 662.8908,20.0612,0.0294, 8.9002,191.7188,1166.2982,0.8327,191.7188,1669.4441
1.0000,4.7677,3.3380,1.0389,1234.8529,2197.2639,10036.6939,  0.0195,  0.0   , 526.6284,1782.8824, 50.9475,170.2328,0.2443,0.0327, 696.8613, 727.7416, 706.0912,21.6504,0.0298, 9.2299,192.1607,1169.0396,0.8433,192.1607,1573.0915
1.0000,4.6582,3.3460,1.0963,1210.4311,2219.6065,10038.7997,  0.0156,  0.0   , 560.2452,1903.9383, 54.0860,181.4510,0.2446,0.0323, 741.6962, 773.9872, 750.8501,23.1371,0.0299, 9.1539,187.3567,1169.0396,0.8533,187.3567,1480.7625
1.0000,4.5603,3.3439,1.1526,1189.0095,2238.8885,10040.9606,  0.0125,  0.0   , 595.0153,2031.5115, 57.3383,193.1854,0.2451,0.0319, 788.2006, 821.8006, 797.2660,24.5346,0.0299, 9.0654,182.6728,1169.0396,0.8629,182.6728,1392.4745
1.0000,4.4729,3.3339,1.2074,1170.2078,2255.4988,10043.1690,  0.0100,  0.0   , 630.7910,2165.5140, 60.6901,205.5244,0.2457,0.0313, 836.3154, 871.1332, 845.2803,25.8528,0.0297, 8.9649,178.1060,1169.0396,0.8720,178.1060,1308.2245
1.0000,4.3950,3.3182,1.2605,1153.6938,2269.7772,10045.4182,  0.0080,  0.0   , 667.3798,2306.3366, 64.1229,218.6543,0.2468,0.0307, 886.0342, 921.9922, 894.8879,27.1043,0.0294, 8.8537,173.6533,1169.0396,0.8805,173.6533,1227.9761
1.0000,4.3256,3.2982,1.3120,1139.1777,2282.0201,10047.7023,  0.0064,  0.0   , 704.4914,2455.1403, 67.6087,232.9441,0.2485,0.0302, 937.4355, 974.4732, 946.1693,28.3039,0.0290, 8.7338,169.3120,1169.0396,0.8886,169.3120,1151.6536
1.2000,4.2638,3.2754,1.3616,1126.4061,2292.4865,10050.0163,-29.1960,-29.2011, 742.2754,2614.4564, 71.1619,242.7396,0.2464,0.0301, 985.0150,1028.8276, 999.3570,29.4706,0.0286,14.3420,229.2021,1169.0396,0.8962,229.2021,1079.2844
